galaxy_id,radius_kpc,v_obs_kms,v_obs_error
NGC3521,4.29,218,8.42
NGC3521,4.46,220,9.71
NGC3521,4.64,220,20.1
NGC3521,4.81,216,23.5
NGC3521,4.98,220,14.6
NGC3521,5.15,218,12.2
NGC3521,5.32,213,23.1
NGC3521,5.49,215,21.2
NGC3521,5.67,216,18.3
NGC3521,5.84,208,31.7
NGC3521,6.01,212,25.3
NGC3521,6.19,213,23.8
NGC3521,6.35,216,19.6
NGC3521,6.64,210,25
NGC3521,8.82,210,10.7
NGC3521,11.07,210,10.7
NGC3521,13.32,206,6.25
NGC3521,15.49,206,6.25
NGC3521,17.74,206,10.7
NGC3726,3.5,102,7
NGC3726,5.24,125,6.1
NGC3726,6.98,145,4.9
NGC3726,8.72,164,3.9
NGC3726,10.47,162,4.8
NGC3726,12.19,160,4.8
NGC3726,13.94,156,4.8
NGC3726,16.03,146,4.85
NGC3726,22.3,158,4.9
NGC3726,27.52,168,10.6
NGC3726,30.08,169,10.6
NGC3726,32.52,167,15.2
NGC3741,0.23,13.1,2.19
NGC3741,0.47,17.3,2.39
NGC3741,0.7,23.6,2.21
NGC3741,0.93,26.2,2.21
NGC3741,1.17,27.4,2.24
NGC3741,1.4,26.9,2.23
NGC3741,1.64,27.4,2.21
NGC3741,1.87,31,2.2
NGC3741,2.1,32.5,2.19
NGC3741,2.33,33,2.19
NGC3741,2.57,36.5,2.2
NGC3741,2.8,38.9,2.21
NGC3741,3.26,41.5,2.21
NGC3741,3.73,42.7,2.2
NGC3741,4.21,44.7,2.22
NGC3741,4.67,46.7,2.24
NGC3741,5.14,48.5,2.27
NGC3741,5.61,50,2.32
NGC3741,6.07,50.2,2.4
NGC3741,6.54,50.1,2.57
NGC3741,7,51.6,3.24
NGC3769,1.74,87.5,9.4
NGC3769,3.5,106,7.1
NGC3769,5.24,116,5.3
NGC3769,6.98,125,5.7
NGC3769,8.72,126,4.4
NGC3769,10.47,123,4.4
NGC3769,12.31,118,4.6
NGC3769,14.52,115,6.4
NGC3769,17.07,122,15.2
NGC3769,31.82,121,10.2
NGC3769,34.61,118,10.4
NGC3769,37.16,113,10.5
NGC3877,0.87,37.8,9
NGC3877,1.74,80.1,9
NGC3877,2.61,121,8.5
NGC3877,3.5,142,7.3
NGC3877,4.37,153,6.2
NGC3877,5.24,160,5.3
NGC3877,6.11,162,5.3
NGC3877,6.98,167,4.5
NGC3877,7.85,169,5.3
NGC3877,8.72,171,4.9
NGC3877,9.6,171,4.9
NGC3877,10.47,170,5.7
NGC3877,11.35,169,7
NGC3893,1.74,145,6.8
NGC3893,3.5,174,6.8
NGC3893,5.24,194,6.4
NGC3893,6.98,190,5.5
NGC3893,8.81,186,5.8
NGC3893,10.9,188,7
NGC3893,13.12,187,8.5
NGC3893,15.33,179,12.6
NGC3893,17.3,176,11.7
NGC3893,19.05,167,13.5
NGC3917,0.87,24.3,3.9
NGC3917,1.74,49.6,3.9
NGC3917,2.61,73.6,5.2
NGC3917,3.5,101,4.4
NGC3917,4.37,107,3.5
NGC3917,5.24,115,3.5
NGC3917,6.11,123,3.9
NGC3917,6.98,130,3.9
NGC3917,7.85,134,3.5
NGC3917,8.72,136,3.9
NGC3917,9.6,137,4
NGC3917,10.47,136,3.5
NGC3917,11.35,137,3.5
NGC3917,12.19,137,3.5
NGC3917,13.12,137,5
NGC3917,13.94,138,5
NGC3917,14.86,137,7.5
NGC3949,1.74,123,5.5
NGC3949,2.61,145,5.5
NGC3949,3.5,152,6.2
NGC3949,4.37,157,6.6
NGC3949,5.24,161,8.8
NGC3949,6.11,165,11.2
NGC3949,7.07,169,25.5
NGC3953,3.5,181,7.5
NGC3953,5.24,203,6.5
NGC3953,6.98,216,5.6
NGC3953,8.72,223,6.1
NGC3953,10.47,224,5.6
NGC3953,12.19,223,6.1
NGC3953,13.94,224,6.1
NGC3953,15.68,215,9.7
NGC3972,0.87,39.6,4.9
NGC3972,1.74,73,5.2
NGC3972,2.61,89.4,6.6
NGC3972,3.5,102,5.3
NGC3972,4.37,110,4.4
NGC3972,5.24,116,4.4
NGC3972,6.11,123,4.4
NGC3972,6.98,130,3.9
NGC3972,7.85,134,6.1
NGC3972,8.72,134,4.9
NGC3992,9.19,248,7
NGC3992,13.79,264,6.6
NGC3992,18.35,272,5.7
NGC3992,22.94,271,5.7
NGC3992,27.52,264,5.3
NGC3992,32.11,242,7.4
NGC3992,36.7,244,5.3
NGC3992,41.44,241,6.2
NGC3992,46.02,237,8.6
NGC4010,0.87,39.3,6.6
NGC4010,1.74,54.6,5.6
NGC4010,2.61,65.5,6.7
NGC4010,3.5,83.9,5.2
NGC4010,4.37,94.3,6.3
NGC4010,5.24,104,5.7
NGC4010,6.11,115,5.1
NGC4010,6.98,127,5.1
NGC4010,7.85,129,5.1
NGC4010,8.72,127,5.1
NGC4010,9.6,124,5.1
NGC4010,10.47,122,3.9
NGC4013,5.49,198,10
NGC4013,6.17,195,5
NGC4013,6.92,194,4
NGC4013,7.69,195,3
NGC4013,8.36,195,3
NGC4013,9.12,195,3
NGC4013,9.88,192,7
NGC4013,10.56,188,8
NGC4013,11.31,186,7
NGC4013,12.08,186,6
NGC4013,12.77,186,5
NGC4013,13.47,185,6
NGC4013,14.17,180,10
NGC4013,14.98,163,8
NGC4013,15.68,162,6
NGC4013,16.37,164,5
NGC4013,17.19,166,5
NGC4013,17.88,166,5
NGC4013,18.58,166,5
NGC4013,19.39,166,5
NGC4013,20.09,168,5
NGC4013,20.79,172,5
NGC4013,21.48,173,5
NGC4013,22.3,171,5
NGC4013,22.99,170,5
NGC4013,23.69,172,5
NGC4013,24.39,173,5
NGC4013,25.2,176,5
NGC4013,25.9,178,5
NGC4013,26.59,180,6
NGC4013,27.41,180,8
NGC4013,28.1,180,5
NGC4013,28.8,180,5
NGC4013,29.61,178,5
NGC4013,30.31,174,5
NGC4013,31.01,170,10
NGC4051,1.74,121,14.8
NGC4051,3.5,116,7.8
NGC4051,5.24,140,7
NGC4051,6.98,160,6.6
NGC4051,8.72,161,5.2
NGC4051,10.47,154,7.4
NGC4051,12.19,153,9.8
NGC4068,0.21,4.68,3.65
NGC4068,0.64,13.1,3.44
NGC4068,1.06,22.5,2.45
NGC4068,1.48,30.4,1.71
NGC4068,1.91,36,1.7
NGC4068,2.33,41.9,4.97
NGC4085,0.87,42.2,7.3
NGC4085,1.74,79.9,5.9
NGC4085,2.71,112,6.2
NGC4085,3.58,127,4.9
NGC4085,4.45,130,4.9
NGC4085,5.32,133,4.5
NGC4085,6.2,136,7.4
NGC4088,1.74,84.9,11.3
NGC4088,3.5,136,9.9
NGC4088,5.24,162,8
NGC4088,6.98,179,6.5
NGC4088,8.72,182,6.1
NGC4088,10.47,179,7
NGC4088,12.19,174,6.2
NGC4088,13.94,171,7.2
NGC4088,15.68,168,6.1
NGC4088,17.42,165,5.6
NGC4088,19.28,171,8.6
NGC4088,21.48,174,7.6
NGC4100,2.61,120,10.5
NGC4100,3.5,148,7.5
NGC4100,4.37,168,6.2
NGC4100,5.24,182,6.1
NGC4100,6.11,190,5.2
NGC4100,6.98,194,5.7
NGC4100,7.85,195,6.1
NGC4100,8.72,193,4.8
NGC4100,9.6,192,3.9
NGC4100,10.47,192,3.5
NGC4100,11.35,191,4.4
NGC4100,12.19,189,4.8
NGC4100,13.12,185,5.3
NGC4100,13.94,182,4.5
NGC4100,14.86,179,6.6
NGC4100,15.68,176,6.2
NGC4100,16.61,174,6.6
NGC4100,17.42,178,8.7
NGC4100,18.35,177,6.2
NGC4100,19.16,169,5.9
NGC4100,20.09,158,6.3
NGC4100,21.02,158,7.6
NGC4100,21.95,158,8.9
NGC4100,22.76,159,9
NGC4138,2.61,179,14.7
NGC4138,5.24,195,6.8
NGC4138,7.85,181,9.8
NGC4138,10.65,162,20.4
NGC4138,13.47,145,9.6
NGC4138,16.03,147,17.9
NGC4138,18.58,150,21
NGC4157,1.74,96.4,12.1
NGC4157,3.5,157,10.5
NGC4157,5.24,192,8.4
NGC4157,6.98,201,6.9
NGC4157,8.72,201,7.3
NGC4157,10.47,194,6.4
NGC4157,12.19,190,6
NGC4157,13.94,186,6.4
NGC4157,15.68,184,6.4
NGC4157,17.42,182,7.3
NGC4157,19.16,181,6.6
NGC4157,20.9,183,6.5
NGC4157,22.65,185,6.5
NGC4157,24.39,186,9.1
NGC4157,26.13,186,11.4
NGC4157,27.87,184,13.6
NGC4157,29.61,185,13.6
NGC4183,0.87,47.1,8.2
NGC4183,1.74,65.9,6.6
NGC4183,2.61,76.1,5.6
NGC4183,3.5,85.7,5.6
NGC4183,4.37,96.6,5.2
NGC4183,5.24,99.3,5.2
NGC4183,6.11,103,5.2
NGC4183,6.98,107,5.2
NGC4183,7.85,111,5.2
NGC4183,8.72,114,6.1
NGC4183,9.6,115,6.1
NGC4183,10.47,111,5.6
NGC4183,11.35,110,5.6
NGC4183,12.31,111,5.2
NGC4183,13.12,109,4.8
NGC4183,14.05,108,4.4
NGC4183,14.98,109,5.2
NGC4183,16.03,111,5.3
NGC4183,16.95,110,4.9
NGC4183,17.88,109,4.9
NGC4183,18.93,110,5.3
NGC4183,19.97,112,10.2
NGC4183,21.02,113,11.5
NGC4214,0.21,55.5,7.21
NGC4214,0.63,63.2,5.22
NGC4214,1.04,66.6,7.97
NGC4214,1.46,70.5,4.62
NGC4214,1.88,76.1,4.69
NGC4214,2.3,78.8,4.52
NGC4214,2.71,80.1,6.65
NGC4214,3.14,80.1,6.28
NGC4214,3.55,80.1,5.09
NGC4214,3.96,80.4,5.4
NGC4214,4.38,80.1,7.58
NGC4214,4.8,80.4,8.9
NGC4214,5.22,80.6,9.37
NGC4214,5.63,80.6,9.37
NGC4217,0.87,47.8,8.2
NGC4217,1.74,98.9,8.2
NGC4217,2.61,146,7.7
NGC4217,3.5,164,6.4
NGC4217,4.37,174,5.95
NGC4217,5.24,175,6
NGC4217,6.11,184,6.4
NGC4217,6.98,185,6.4
NGC4217,7.85,188,6.65
NGC4217,8.72,190,7.35
NGC4217,9.6,191,6.4
NGC4217,10.47,191,5.55
NGC4217,11.35,189,5.95
NGC4217,12.19,186,6.85
NGC4217,13.12,183,6.4
NGC4217,13.94,179,6.85
NGC4217,14.86,177,7.25
NGC4217,15.79,177,8.55
NGC4217,16.72,178,12
NGC4389,0.87,27.3,5.8
NGC4389,1.74,52.7,6.7
NGC4389,2.71,69.2,6.7
NGC4389,3.58,83.5,6.4
NGC4389,4.45,95.9,6.3
NGC4389,5.32,110,7.6
NGC4559,0.67,43.8,10.9
NGC4559,1.32,64.2,7.71
NGC4559,1.97,73.3,8.62
NGC4559,2.62,84.2,8.4
NGC4559,3.28,96.2,5.67
NGC4559,3.93,102,4.79
NGC4559,4.58,104,5.67
NGC4559,5.22,106,5.37
NGC4559,5.9,106,5.24
NGC4559,6.54,108,5.22
NGC4559,7.19,111,4.68
NGC4559,7.87,114,4.61
NGC4559,8.51,116,4.47
NGC4559,9.16,117,5.22
NGC4559,9.84,118,5.22
NGC4559,10.48,120,4.5
NGC4559,11.13,121,3.62
NGC4559,11.78,122,3.17
NGC4559,12.43,122,2.74
NGC4559,13.08,122,3.18
NGC4559,13.73,123,3.56
NGC4559,14.38,124,4.31
NGC4559,15.03,124,4.76
NGC4559,15.68,123,5.23
NGC4559,16.33,123,5.66
NGC4559,16.98,123,5.62
NGC4559,17.72,121,5.67
NGC4559,18.28,122,6.32
NGC4559,19.02,122,6.35
NGC4559,19.67,121,5.86
NGC4559,20.32,120,5.94
NGC4559,20.97,119,6.13
NGC5005,0.49,211,40.1
NGC5005,0.98,233,17.4
NGC5005,1.47,227,14.4
NGC5005,1.97,234,10.8
NGC5005,2.46,245,7.67
NGC5005,2.95,244,23.3
NGC5005,3.44,261,23.3
NGC5005,3.93,259,22.7
NGC5005,4.42,258,22.7
NGC5005,4.92,258,22.5
NGC5005,5.74,261,22.4
NGC5005,6.56,263,22.4
NGC5005,7.37,264,22.3
NGC5005,8.19,265,22.2
NGC5005,9.01,265,22.2
NGC5005,9.83,264,22
NGC5005,10.65,264,21.9
NGC5005,11.47,265,22
NGC5033,0.76,206,16
NGC5033,2.28,214,10
NGC5033,3.8,222,8
NGC5033,5.33,224,8
NGC5033,6.85,225,8
NGC5033,8,222,6
NGC5033,10.28,220,3
NGC5033,12.56,218,2
NGC5033,14.91,219,2
NGC5033,17.15,217,2
NGC5033,19.39,218,2
NGC5033,21.64,220,2
NGC5033,24.01,222,2
NGC5033,26.25,218,3
NGC5033,28.5,217,3
NGC5033,30.87,207,3
NGC5033,33.12,199,3
NGC5033,35.36,191,3
NGC5033,37.73,193,3
NGC5033,39.98,192,3
NGC5033,42.22,194,4
NGC5033,44.59,196,5
NGC5055,0.72,125,17.6
NGC5055,1.43,162,8.5
NGC5055,2.16,178,5.22
NGC5055,2.87,193,1.88
NGC5055,3.59,192,3.59
NGC5055,4.3,190,0.97
NGC5055,5.03,195,0.99
NGC5055,5.75,201,0.45
NGC5055,6.46,204,0.81
NGC5055,7.18,204,0.65
NGC5055,7.91,206,0.66
NGC5055,8.62,206,1.54
NGC5055,11.49,206,1.9
NGC5055,14.3,206,0.42
NGC5055,17.19,203,4.19
NGC5055,20.07,200,1.23
NGC5055,22.96,194,4.09
NGC5055,25.85,188,5.2
NGC5055,28.74,184,1.16
NGC5055,31.62,182,2.47
NGC5055,34.51,180,3.85
NGC5055,37.4,181,8.43
NGC5055,40.29,180,4.55
NGC5055,43.17,179,0.44
NGC5055,45.92,179,1.96
NGC5055,48.81,179,2.99
NGC5055,51.7,174,3.39
NGC5055,54.59,172,4.84
NGC5371,1.45,216,10
NGC5371,2.88,215,7
NGC5371,4.33,215,5
NGC5371,5.78,214,4
NGC5371,7.22,215,4
NGC5371,8.66,221,3
NGC5371,11.55,233,3
NGC5371,14.48,237,3
NGC5371,17.28,242,3
NGC5371,20.2,241,3
NGC5371,23.12,240,3
NGC5371,26.04,234,3
NGC5371,28.84,226,3
NGC5371,31.76,213,3
NGC5371,34.68,207,3
NGC5371,37.48,208,4
NGC5371,40.4,209,4
NGC5371,43.32,207,4
NGC5371,46.24,213,6
NGC5585,0.09,11.2,2.02
NGC5585,0.26,26.5,1.03
NGC5585,0.43,33.7,1.03
NGC5585,0.6,32.7,1.12
NGC5585,0.77,33.7,1.03
NGC5585,0.94,35.7,2.24
NGC5585,1.11,37.8,3.35
NGC5585,1.28,41.8,3.35
NGC5585,1.46,43.9,2.14
NGC5585,1.63,44.9,1.25
NGC5585,2.05,53.2,1.6
NGC5585,2.74,64.3,0.9
NGC5585,3.42,73.1,2.4
NGC5585,4.11,76.2,4.4
NGC5585,4.79,78.4,3.8
NGC5585,5.48,83.1,3.1
NGC5585,6.16,88,3
NGC5585,6.85,89.9,2.4
NGC5585,7.53,90.6,2.8
NGC5585,8.21,91.6,2.6
NGC5585,8.9,92.3,1.4
NGC5585,9.57,90.9,1
NGC5585,10.31,89.6,2.7
NGC5585,10.96,89.4,2.7
NGC5907,5.03,214,6
NGC5907,7.55,220,6
NGC5907,10.07,235,4
NGC5907,12.58,235,4
NGC5907,15.1,230,2
NGC5907,17.61,231,2
NGC5907,20.13,232,2
NGC5907,22.65,225,7
NGC5907,25.16,224,7
NGC5907,27.68,229,2
NGC5907,30.2,218,2
NGC5907,32.71,214,2
NGC5907,35.23,213,2
NGC5907,37.75,211,2
NGC5907,40.26,217,2
NGC5907,42.78,216,3
NGC5907,45.29,215,3
NGC5907,47.81,217,5
NGC5907,50.33,214,5
NGC5985,3.54,223,8
NGC5985,4.23,230,6.13
NGC5985,4.97,248,5.1
NGC5985,5.74,258,6.6
NGC5985,6.47,263,7
NGC5985,7.22,272,6.25
NGC5985,8.02,287,4.01
NGC5985,8.79,289,7.25
NGC5985,9.5,292,6.93
NGC5985,10.27,302,10.4
NGC5985,11.08,302,10.3
NGC5985,11.82,304,10.4
NGC5985,12.56,303,10.4
NGC5985,13.39,305,10.1
NGC5985,14.1,300,8.78
NGC5985,14.93,295,9.72
NGC5985,15.64,294,5.32
NGC5985,16.35,290,5.32
NGC5985,17.18,291,4.03
NGC5985,17.89,286,3.25
NGC5985,18.72,287,3.61
NGC5985,19.44,294,3.35
NGC5985,20.26,290,3.75
NGC5985,20.98,288,3.04
NGC5985,21.69,290,6.4
NGC5985,22.52,294,4.19
NGC5985,23.23,297,4.12
NGC5985,24.06,293,5.15
NGC5985,24.77,291,6.21
NGC5985,25.95,297,4
NGC5985,28.92,292,4
NGC5985,31.76,288,4
NGC5985,34.72,285,4
NGC6015,0.34,35.5,2.1
NGC6015,0.67,62.4,4.2
NGC6015,1,90.7,3.8
NGC6015,1.32,104,2
NGC6015,1.65,105,2.4
NGC6015,1.98,108,2
NGC6015,2.31,116,2.3
NGC6015,2.63,130,3.3
NGC6015,2.96,141,2.2
NGC6015,3.28,146,1.6
NGC6015,3.61,150,1.4
NGC6015,3.94,152,1.1
NGC6015,4.27,155,1.3
NGC6015,4.6,152,1.8
NGC6015,4.94,150,2.4
NGC6015,5.3,147,5.5
NGC6015,5.63,145,3.8
NGC6015,5.96,152,4.1
NGC6015,6.27,149,1.4
NGC6015,8.24,149,4
NGC6015,10.3,146,4
NGC6015,11.13,149,3.2
NGC6015,11.95,152,2.8
NGC6015,12.72,153,2.4
NGC6015,13.58,156,2.2
NGC6015,14.43,158,2.8
NGC6015,15.29,158,3.1
NGC6015,16.02,159,3.8
NGC6015,16.88,161,3.6
NGC6015,17.73,163,4
NGC6015,18.59,162,4.8
NGC6015,19.32,164,5.7
NGC6015,20.18,165,7
NGC6015,21.04,166,6.3
NGC6015,21.89,163,7
NGC6015,22.63,159,8.5
NGC6015,23.48,155,9.1
NGC6015,24.34,154,8
NGC6015,25.19,149,5.4
NGC6015,25.93,153,3.1
NGC6015,26.78,156,3
NGC6015,27.64,151,9.4
NGC6015,28.37,158,7.7
NGC6015,29.23,152,3.4
NGC6195,1.33,175,13.6
NGC6195,2.34,237,3.65
NGC6195,3.33,247,3.81
NGC6195,4.34,242,3.56
NGC6195,5.35,240,4.2
NGC6195,6.34,233,4.59
NGC6195,7.34,233,4.63
NGC6195,8.32,247,6.41
NGC6195,9.34,248,7.64
NGC6195,10.38,242,9.05
NGC6195,11.36,252,12.5
NGC6195,12.34,245,8.72
NGC6195,13.32,247,4.44
NGC6195,14.3,238,9.29
NGC6195,15.47,249,9.98
NGC6195,16.35,250,6.15
NGC6195,17.92,253,6.96
NGC6195,19.1,258,15.4
NGC6195,22.52,254,6.51
NGC6195,26.05,256,7.73
NGC6195,29.48,255,8.5
NGC6195,33,244,5.75
NGC6195,36.43,246,4.24
NGC6503,0.76,77,10
NGC6503,1.52,100,5
NGC6503,2.28,110,2
NGC6503,3.04,118,2
NGC6503,3.79,121,2
NGC6503,4.55,121,2
NGC6503,5.31,117,2
NGC6503,6.07,116,2
NGC6503,6.83,116,2
NGC6503,7.59,116,2
NGC6503,8.35,115,1
NGC6503,9.11,115,1
NGC6503,9.86,116,1
NGC6503,10.64,117,1
NGC6503,11.38,117,1
NGC6503,12.12,118,1
NGC6503,12.86,117,1
NGC6503,13.7,116,1
NGC6503,14.44,115,1
NGC6503,15.18,117,1
NGC6503,15.91,116,1
NGC6503,16.65,115,2
NGC6503,17.49,115,2
NGC6503,18.23,115,2
NGC6503,18.97,114,2
NGC6503,19.71,115,2
NGC6503,20.45,114,2
NGC6503,21.29,116,2
NGC6503,22.03,115,3
NGC6503,22.76,118,4
NGC6503,23.5,115,10
NGC6674,2.5,206,75
NGC6674,7.49,285,8
NGC6674,12.54,291,7
NGC6674,17.45,274,5
NGC6674,22.47,266,4
NGC6674,27.48,255,2
NGC6674,32.5,250,2
NGC6674,37.51,242,2
NGC6674,42.42,237,2
NGC6674,47.44,235,2
NGC6674,52.45,236,2
NGC6674,57.47,242,2
NGC6674,62.48,246,2
NGC6674,67.4,242,4
NGC6674,72.41,242,5
NGC6789,0.1,13.9,3.84
NGC6789,0.3,29.9,3.92
NGC6789,0.51,46.7,4.1
NGC6789,0.71,60.4,9.4
NGC6946,0.19,153,8
NGC6946,0.56,130,9
NGC6946,0.94,128,3
NGC6946,1.22,134,3
NGC6946,1.59,129,4
NGC6946,1.96,131,7
NGC6946,2.34,138,8
NGC6946,2.71,139,5
NGC6946,2.99,143,3
NGC6946,3.37,146,2
NGC6946,3.74,154,2
NGC6946,4.12,161,1
NGC6946,4.4,167,2
NGC6946,4.77,173,2
NGC6946,5.15,176,4
NGC6946,5.52,178,5
NGC6946,5.89,180,3
NGC6946,6.17,179,4
NGC6946,6.55,180,5
NGC6946,6.92,181,4
NGC6946,7.3,179,4
NGC6946,7.58,179,2
NGC6946,7.95,179,1
NGC6946,8.33,178,1
NGC6946,8.7,177,2
NGC6946,9.08,176,2
NGC6946,9.36,173,3
NGC6946,9.73,172,2
NGC6946,10.1,172,2
NGC6946,10.48,170,2
NGC6946,10.76,171,2
NGC6946,11.13,174,2
NGC6946,11.51,174,2
NGC6946,11.88,175,2
NGC6946,12.26,174,2
NGC6946,12.54,173,6
NGC6946,12.91,173,6
NGC6946,13.29,173,8
NGC6946,13.66,175,9
NGC6946,14.03,174,9
NGC6946,14.31,171,9
NGC6946,14.69,167,8
NGC6946,15.06,165,7
NGC6946,15.44,163,8
NGC6946,15.72,162,8
NGC6946,16.09,161,9
NGC6946,16.47,159,10
NGC6946,16.84,158,10
NGC6946,17.21,157,10
NGC6946,17.5,157,10
NGC6946,17.87,157,9
NGC6946,18.24,160,11
NGC6946,18.62,159,12
NGC6946,18.9,160,14
NGC6946,19.27,158,16
NGC6946,19.65,155,18
NGC6946,20.02,157,19
NGC6946,20.4,154,21
NGC7331,2.67,221,20
NGC7331,3.21,237,13
NGC7331,3.74,249,8
NGC7331,4.27,250,5
NGC7331,4.81,253,5
NGC7331,5.35,257,5
NGC7331,5.88,257,5
NGC7331,6.41,257,5
NGC7331,7.48,257,5
NGC7331,8.55,255,5
NGC7331,9.62,248,6
NGC7331,10.66,247,6
NGC7331,11.74,246,6
NGC7331,12.83,244,6
NGC7331,13.91,242,4
NGC7331,15,238,3
NGC7331,16.08,236,3
NGC7331,17.07,233,3
NGC7331,18.15,234,3
NGC7331,19.24,236,3
NGC7331,20.32,237,3
NGC7331,21.41,238,3
NGC7331,22.49,240,3
NGC7331,23.48,238,3
NGC7331,24.57,237,3
NGC7331,25.65,236,3
NGC7331,26.74,238,3
NGC7331,27.82,239,3
NGC7331,28.91,239,3
NGC7331,29.89,241,4
NGC7331,30.98,236,4
NGC7331,32.06,236,5
NGC7331,33.15,239,5
NGC7331,34.23,237,5
NGC7331,35.32,241,7
NGC7331,36.31,238,9
NGC7793,0.11,9.1,8.5
NGC7793,0.14,17.6,7.4
NGC7793,0.17,19.3,7.4
NGC7793,0.21,24.8,6.4
NGC7793,0.24,30,7.2
NGC7793,0.28,35,7.3
NGC7793,0.32,38.3,7.6
NGC7793,0.35,42.7,8.8
NGC7793,0.39,47,5.3
NGC7793,0.42,49.8,5.6
NGC7793,0.46,52.2,6.2
NGC7793,0.49,53.4,6.3
NGC7793,0.53,54.6,5.9
NGC7793,0.56,55.5,6.9
NGC7793,0.6,55.9,7.5
NGC7793,0.63,58.3,7.4
NGC7793,0.66,59.3,6.3
NGC7793,0.7,59.5,6.7
NGC7793,0.87,59.1,5.1
NGC7793,1.05,62.6,5.5
NGC7793,1.22,65.6,4.8
NGC7793,1.4,70.7,4.6
NGC7793,1.57,73.9,4
NGC7793,1.75,78.5,4.2
NGC7793,1.92,82.4,4.6
NGC7793,2.1,87.1,4.9
NGC7793,2.27,89.6,5.4
NGC7793,2.45,94.9,5.7
NGC7793,2.62,98.1,5
NGC7793,2.79,99.3,5.7
NGC7793,2.97,98.6,7.2
NGC7793,3.16,101,8.7
NGC7793,3.33,103,9.4
NGC7793,3.51,107,9.1
NGC7793,3.68,114,7.4
NGC7793,3.85,112,8.1
NGC7793,4.03,114,7.6
NGC7793,4.2,116,7.2
NGC7793,4.38,114,7.8
NGC7793,4.73,114,11.4
NGC7793,5.25,109,9.9
NGC7793,5.78,107,12.6
NGC7793,6.3,105,12.5
NGC7793,6.82,101,5.2
NGC7793,7.35,94.5,4.6
NGC7793,7.87,90.8,6.1
NGC7814,0.63,265,15
NGC7814,1.72,250,15
NGC7814,2.79,233,7.29
NGC7814,3.91,230,6.45
NGC7814,5.03,228,5.37
NGC7814,6.14,228,5.16
NGC7814,7.26,227,5.94
NGC7814,8.37,226,3
NGC7814,9.5,223,3.92
NGC7814,10.65,219,2.9
NGC7814,11.74,216,2.55
NGC7814,12.82,214,2.55
NGC7814,14.01,214,3.07
NGC7814,15.09,214,3.61
NGC7814,16.18,214,4.46
NGC7814,17.36,214,5.07
NGC7814,18.44,214,4.78
NGC7814,19.53,214,4.87
PGC51017,0.33,20.5,4.17
PGC51017,0.99,19.9,1.82
PGC51017,1.65,19.3,1.69
PGC51017,2.31,18.8,1.9
PGC51017,2.97,18.2,1.74
PGC51017,3.63,18.3,2.22
UGC00128,1.25,34.1,18.8
UGC00128,3.75,78.4,6.54
UGC00128,6.25,96.9,2.44
UGC00128,8.76,108,1.26
UGC00128,11.25,113,1
UGC00128,13.74,114,0.86
UGC00128,16.22,121,0.68
UGC00128,18.71,126,0.55
UGC00128,21.3,128,0.63
UGC00128,23.79,129,0.61
UGC00128,26.28,129,0.65
UGC00128,28.77,131,0.73
UGC00128,31.25,131,0.83
UGC00128,33.74,131,0.75
UGC00128,36.23,127,1.24
UGC00128,38.82,126,1.4
UGC00128,41.31,130,1.62
UGC00128,43.8,132,2.01
UGC00128,46.28,134,2.1
UGC00128,48.77,129,2.66
UGC00128,51.26,132,4.67
UGC00128,53.75,125,5.95
UGC00191,0.62,29.9,1.42
UGC00191,0.87,34.4,2.31
UGC00191,1.12,46.3,2.05
UGC00191,1.37,49.8,1.87
UGC00191,1.62,57.6,2.76
UGC00191,2.3,71.3,7.5
UGC00191,4.97,76.65,1.09
UGC00191,7.45,81,0.63
UGC00191,9.98,83.85,1.04
UGC00634,4.51,69.75,4.15
UGC00634,9.01,97.7,1.63
UGC00634,13.51,108,0.99
UGC00634,18.01,107.5,2.32
UGC00731,0.91,29.6,2.38
UGC00731,1.81,44.6,2.4
UGC00731,2.73,50.4,2.86
UGC00731,3.64,56.8,3.43
UGC00731,4.55,60.7,2.98
UGC00731,5.45,64.7,2.46
UGC00731,6.36,68,2.38
UGC00731,7.28,71.5,2.52
UGC00731,8.19,73.4,2.68
UGC00731,9.09,74,2.83
UGC00731,10,73.8,3.22
UGC00731,10.91,73.9,3.42
UGC00891,1.48,24.35,2.92
UGC00891,2.97,43.55,1.4
UGC00891,4.45,54.15,0.67
UGC00891,5.94,60.15,0.48
UGC00891,7.39,63.75,0.95
UGC01230,0.78,19.8,10.7
UGC01230,2.35,55.4,10.7
UGC01230,3.91,88.5,10.7
UGC01230,5.48,105,10.7
UGC01230,7.03,106,10.7
UGC01230,8.6,103,10.7
UGC01230,13.27,109,15.8
UGC01230,14.85,113,14.7
UGC01230,25.8,105,10.4
UGC01230,32.01,103,10
UGC01230,36.54,103,10
UGC01281,0.08,1.41,4
UGC01281,0.23,4.46,4
UGC01281,0.38,7.71,4
UGC01281,0.54,11,4
UGC01281,0.69,14.2,4
UGC01281,0.84,17.2,5.78
UGC01281,1,20.2,4.74
UGC01281,1.15,23.2,4
UGC01281,1.3,26.4,7.13
UGC01281,1.46,29.3,4.38
UGC01281,1.61,31.6,4.94
UGC01281,1.76,34.6,4
UGC01281,1.92,37.4,7.09
UGC01281,2.07,39.9,4
UGC01281,2.22,42.2,4.37
UGC01281,2.38,44.4,4.58
UGC01281,2.53,46.7,5.91
UGC01281,2.68,48.5,7.72
UGC01281,2.76,49.3,9.73
